CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,13,241,979,1645,84,-75473,-11415,9
Beechfield/Ten Hills/West Hills,12,225,485,897,55,-313969,-18262,-42
Belair-Edison,36,318,869,2045,84,-111856,-12365,3
Brooklyn/Curtis Bay/Hawkins Point,23,415,2474,1267,109,-110157,-11704,11
Canton,22,479,1095,-41,39,-605043,-33697,-58
Cedonia/Frankford,20,279,1216,2273,71,-227805,-11824,-9
Cherry Hill,48,272,649,1119,102,-160462,-7352,55
Chinquapin Park/Belvedere,23,202,469,522,66,-340773,-15682,-22
Claremont/Armistead,22,394,992,677,73,-355059,-11763,5
Clifton-Berea,22,220,601,1195,101,-38568,-8330,70
Cross-Country/Cheswolde,10,121,351,220,-6,-376230,-19077,-52
Dickeyville/Franklintown,7,296,112,244,59,-370083,-11753,-5
Dorchester/Ashburton,16,227,481,1021,60,-208742,-12324,-10
Downtown/Seton Hill,270,2453,31674,58,131,-413958,-16156,-27
Edmondson Village,23,224,160,902,71,-106596,-12695,22
Fells Point,58,549,2468,50,53,-536427,-28195,-48
Forest Park/Walbrook,22,243,282,859,69,-130001,-12682,3
Glen-Fallstaff,13,306,2523,800,9,-234777,-13094,-12
Greater Charles Village/Barclay,135,395,3588,457,35,-352631,-9656,15
Greater Govans,25,216,372,1002,63,-95247,-12334,20
Greater Mondawmin,38,660,1481,842,67,-108190,-13289,11
Greater Roland Park/Poplar Hill,44,207,1577,65,9,-879275,-38531,-88
Greater Rosemont,24,333,912,2207,104,-47535,-9085,44
Greenmount East,28,289,490,908,100,-46784,-7635,183
Hamilton,19,305,803,1055,51,-276483,-22481,-36
Harbor East/Little Italy,61,1160,9529,398,65,-531322,-13068,25
Harford/Echodale,27,278,986,1170,61,-351064,-18296,-35
Highlandtown,39,413,1172,219,72,-501776,-26167,-31
Howard Park/West Arlington,16,254,1272,744,59,-193844,-13426,-28
Inner Harbor/Federal Hill,403,924,5251,137,39,-732429,-32054,-54
Lauraville,19,305,599,864,57,-241940,-23401,-48
Loch Raven,17,229,1048,1314,54,-245177,-16122,-18
Madison/East End,24,370,409,1111,119,-39408,-9217,97
Medfield/Hampden/Woodberry/Remington,82,295,3910,595,55,-361317,-19901,-36
Midtown,297,706,9408,192,41,-497465,-12995,8
Midway/Coldstream,22,337,556,1075,114,-42948,-11671,54
Morrell Park/Violetville,5,409,3371,447,58,-164979,-13306,-33
Mount Washington/Coldspring,79,228,1026,56,27,-657053,-28143,-66
North Baltimore/Guilford/Homeland,48,203,1431,116,17,-922516,-28532,-73
Northwood,36,262,1149,1069,50,-300086,-19761,-29
Oldtown/Middle East,93,640,5609,908,55,-150394,-3927,73
Orangeville/East Highlandtown,45,599,4444,630,83,-182153,-14123,7
Patterson Park North & East,46,446,497,1034,87,-297552,-19530,35
Penn North/Reservoir Hill,31,313,566,974,86,-103038,-11262,56
Pimlico/Arlington/Hilltop,21,258,1888,1237,88,-53747,-10635,33
Poppleton/The Terraces/Hollins Market,26,388,460,513,120,-182681,-5755,43
Sandtown-Winchester/Harlem Park,19,277,659,1649,94,-63767,-7193,124
South Baltimore,35,181,2675,-17,59,-655553,-32648,-48
Southeastern,20,408,3919,360,65,-236113,-11291,-5
Southern Park Heights,12,242,634,1167,99,-46584,-8000,62
Southwest Baltimore,19,397,1645,1954,100,-38551,-7069,140
The Waverlies,26,447,841,725,61,-146204,-11276,20
Upton/Druid Heights,31,362,1524,1175,111,-77248,-4608,149
Washington Village/Pigtown,58,636,2211,369,77,-152000,-17453,-9
Westport/Mount Winans/Lakeland,16,464,1240,779,73,-101499,-14625,5
