CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,-6,-368,911,3101,187,-26005,-11415,9
Beechfield/Ten Hills/West Hills,-3,-364,433,1789,139,-118407,-18262,-42
Belair-Edison,6,-519,729,3943,234,-37185,-12365,3
Brooklyn/Curtis Bay/Hawkins Point,0,-478,2193,2631,237,-37474,-11704,11
Canton,-3,-668,1096,-170,147,-242788,-33697,-58
Cedonia/Frankford,-1,-463,981,4381,197,-81740,-11824,-9
Cherry Hill,0,-315,618,2370,232,-29645,-7352,55
Chinquapin Park/Belvedere,-4,-393,444,945,203,-106184,-15682,-22
Claremont/Armistead,1,-543,795,1585,202,-82693,-11763,5
Clifton-Berea,-7,-433,518,2295,236,-19314,-8330,70
Cross-Country/Cheswolde,5,-235,385,311,68,-111478,-19077,-52
Dickeyville/Franklintown,-2,-361,111,382,180,-200529,-11753,-5
Dorchester/Ashburton,-4,-423,490,1854,166,-74945,-12324,-10
Downtown/Seton Hill,245,-2564,26618,117,229,-187515,-16156,-27
Edmondson Village,-6,-313,152,1567,193,-47645,-12695,22
Fells Point,34,-760,2175,123,161,-207321,-28195,-48
Forest Park/Walbrook,-5,-418,257,1734,174,-59220,-12682,3
Glen-Fallstaff,4,-542,2495,1796,131,-108105,-13094,-12
Greater Charles Village/Barclay,153,-650,3420,950,169,-144259,-9656,15
Greater Govans,-5,-337,351,1984,176,-50501,-12334,20
Greater Mondawmin,6,-728,1274,1659,159,-47882,-13289,11
Greater Roland Park/Poplar Hill,1,-405,1351,93,107,-272412,-38531,-88
Greater Rosemont,0,-421,733,4453,187,-17016,-9085,44
Greenmount East,0,-465,407,1751,266,-26668,-7635,183
Hamilton,-2,-443,668,1793,157,-101630,-22481,-36
Harbor East/Little Italy,30,-1450,7239,887,162,-249412,-13068,25
Harford/Echodale,12,-424,948,2235,172,-122774,-18296,-35
Highlandtown,7,-881,1082,505,183,-212683,-26167,-31
Howard Park/West Arlington,2,-552,1208,1376,144,-97583,-13426,-28
Inner Harbor/Federal Hill,479,-1020,5060,218,138,-266643,-32054,-54
Lauraville,5,-447,607,1756,176,-109062,-23401,-48
Loch Raven,-4,-344,885,2539,138,-92262,-16122,-18
Madison/East End,-8,-595,441,2129,226,-21600,-9217,97
Medfield/Hampden/Woodberry/Remington,64,-597,3509,1162,126,-150533,-19901,-36
Midtown,270,-947,4470,315,110,-176255,-12995,8
Midway/Coldstream,-2,-452,634,2250,236,-17770,-11671,54
Morrell Park/Violetville,0,-597,2398,970,143,-54967,-13306,-33
Mount Washington/Coldspring,4,-374,961,12,137,-262496,-28143,-66
North Baltimore/Guilford/Homeland,26,-405,1395,316,95,-314625,-28532,-73
Northwood,13,-307,1096,1914,144,-92972,-19761,-29
Oldtown/Middle East,61,-537,5914,2004,158,-86708,-3927,73
Orangeville/East Highlandtown,21,-847,3955,1396,208,-79939,-14123,7
Patterson Park North & East,3,-833,438,2445,206,-170160,-19530,35
Penn North/Reservoir Hill,136,-485,528,1912,212,-70597,-11262,56
Pimlico/Arlington/Hilltop,2,-482,1829,2251,218,-48135,-10635,33
Poppleton/The Terraces/Hollins Market,-5,-580,411,1001,218,-99819,-5755,43
Sandtown-Winchester/Harlem Park,-7,-413,616,3306,205,-25825,-7193,124
South Baltimore,-4,-645,2862,-73,219,-263621,-32648,-48
Southeastern,1,-601,2794,714,167,-70567,-11291,-5
Southern Park Heights,0,-415,548,2596,219,-23386,-8000,62
Southwest Baltimore,1,-610,1215,3955,207,-16823,-7069,140
The Waverlies,-6,-723,679,1319,179,-67110,-11276,20
Upton/Druid Heights,1,-587,1374,2399,236,-25038,-4608,149
Washington Village/Pigtown,19,-1549,2166,756,195,-67672,-17453,-9
Westport/Mount Winans/Lakeland,-1,-541,1018,1610,231,-31774,-14625,5
