CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,0.024154589372,6.33333333333,0.278089572343,7.15411282698,5.9842519685,9.05529358064,7.83608831349,3.57933579336
Beechfield/Ten Hills/West Hills,0.0966183574879,3.66666666667,0.121225726793,4.16640403404,3.14960629921,6.03663097753,5.85741532771,1.69741697417
Belair-Edison,0.36231884058,6.0,0.246941295319,8.91900409707,7.00787401575,8.6716280878,7.56155357762,3.35793357934
Brooklyn/Curtis Bay/Hawkins Point,0.217391304348,5.33333333333,0.624649231115,5.81153482509,7.87401574803,9.06417970804,7.752571957,3.65313653137
Canton,0.0724637681159,1.33333333333,0.35357503648,0.0,2.59842519685,2.43215216105,1.39694832967,1.10701107011
Cedonia/Frankford,0.169082125604,5.33333333333,0.342631047256,9.9180586196,5.82677165354,7.6006241116,7.7178938851,2.91512915129
Cherry Hill,0.0966183574879,8.0,0.165843529016,5.30412858494,7.79527559055,10.0,9.01023003121,5.27675276753
Chinquapin Park/Belvedere,0.144927536232,3.66666666667,0.119261421035,2.45824141191,5.1968503937,6.66503812183,6.60299387354,2.43542435424
Claremont/Armistead,0.265700483092,3.33333333333,0.259288360085,3.28395839899,5.51181102362,8.04000145788,7.73552190498,3.43173431734
Clifton-Berea,0.0724637681159,8.66666666667,0.156302615333,5.37976678223,7.08661417323,9.87242679792,8.72760374523,5.83025830258
Cross-Country/Cheswolde,0.169082125604,3.0,0.0942866763947,1.24172707217,0.944881889764,7.06134725493,5.62189342273,1.32841328413
Dickeyville/Franklintown,0.048309178744,4.0,0.0,1.21021115663,3.93700787402,3.52780125621,7.73841174431,3.06273062731
Dorchester/Ashburton,0.0966183574879,5.66666666667,0.140307554159,4.56665616136,3.46456692913,7.41331252961,7.57340191885,2.87822878229
Downtown/Seton Hill,6.54589371981,3.66666666667,10.0,0.554680113457,10.0,4.38730845796,6.46601548954,2.25092250923
Edmondson Village,0.0724637681159,5.0,0.0210461331238,3.91742830129,4.64566929134,8.64868382916,7.4661888799,4.05904059041
Fells Point,0.772946859903,3.66666666667,0.754012796049,0.466435549953,3.93700787402,3.50966453133,2.98693792625,1.47601476015
Forest Park/Walbrook,0.0724637681159,5.0,0.0572454820968,3.8008194138,4.8031496063,8.95917761668,7.46994567102,3.35793357934
Glen-Fallstaff,0.24154589372,5.0,0.872151756651,3.64323983612,2.28346456693,6.5636720533,7.35088429083,2.80442804428
Greater Charles Village/Barclay,3.1884057971,5.0,1.16763946571,2.20296249606,2.59842519685,4.79173138903,8.34441105075,3.80073800738
Greater Govans,0.0724637681159,5.0,0.0867100684701,4.33658997794,3.77952755906,8.57024466355,7.57051207953,3.9852398524
Greater Mondawmin,0.36231884058,8.33333333333,0.432147266809,3.77245508982,4.17322834646,9.64882441047,7.294532424,3.65313653137
Greater Roland Park/Poplar Hill,0.24154589372,1.66666666667,0.455999551016,0.54837693035,0.0,0.721685448446,0.0,0.0
Greater Rosemont,0.169082125604,6.33333333333,0.250589291727,10.0,5.82677165354,9.30894739308,8.5094208762,4.87084870849
Greenmount East,0.193236714976,8.66666666667,0.113649118869,4.08761424519,7.79527559055,9.95307013966,8.92844757831,10.0
Hamilton,0.0966183574879,3.33333333333,0.201201032664,4.5572013867,3.46456692913,6.9032106342,4.63819211652,1.91881918819
Harbor East/Little Italy,0.942028985507,3.66666666667,2.61449096419,2.03907973527,4.0157480315,3.01931344252,7.35839787308,4.16974169742
Harford/Echodale,0.434782608696,3.33333333333,0.27023234931,5.08982035928,4.8031496063,6.33920187997,5.847589874,1.9557195572
Highlandtown,0.338164251208,7.0,0.35357503648,1.35518436811,5.35433070866,3.70193984855,3.57299734135,2.10332103321
Howard Park/West Arlington,0.217391304348,3.66666666667,0.37854978112,3.12322722975,2.99212598425,6.94668670674,7.25494162525,2.21402214022
Inner Harbor/Federal Hill,10.0,0.666666666667,1.63205746997,1.04317680429,2.59842519685,1.71102209556,1.87174893076,1.25461254613
Lauraville,0.169082125604,3.33333333333,0.163317993041,3.77245508982,4.25196850394,6.97139257071,4.37232689862,1.47601476015
Loch Raven,0.0724637681159,3.66666666667,0.288191716242,5.7358966278,3.14960629921,7.46281103615,6.47584094324,2.58302583026
Madison/East End,0.0,10.0,0.111404198002,4.96375669713,8.03149606299,9.45192379452,8.47127499711,6.82656826568
Medfield/Hampden/Woodberry/Remington,1.47342995169,3.33333333333,1.20973173196,2.85219035613,3.46456692913,6.05481976955,5.38377066235,1.91881918819
Midtown,8.961352657,1.66666666667,1.54254125042,1.0967538607,1.96850393701,3.40081814853,7.37949370015,3.54243542435
Midway/Coldstream,0.0966183574879,7.0,0.158547536199,4.91648282383,8.11023622047,9.92331376187,7.76210842677,5.23985239852
Morrell Park/Violetville,0.193236714976,3.0,1.0525872713,2.38260321462,3.77952755906,8.00792809179,7.28961969714,2.0295202952
Mount Washington/Coldspring,0.217391304348,1.33333333333,0.297452014816,0.554680113457,1.65354330709,1.83268567581,3.00196509074,0.811808118081
North Baltimore/Guilford/Homeland,0.845410628019,3.0,0.457402626557,0.844626536401,0.157480314961,0.0,2.889550341,0.553505535055
Northwood,0.48309178744,4.0,0.332248288248,4.49732114718,3.93700787402,7.10665435568,5.4242284129,2.17712177122
Oldtown/Middle East,1.8115942029,8.33333333333,2.14109327646,4.40592499212,4.56692913386,8.95535068095,10.0,5.94095940959
Orangeville/East Highlandtown,0.676328502415,4.66666666667,1.34414636884,3.25244248345,4.88188976378,8.19203754389,7.0535198243,3.50553505535
Patterson Park North & East,0.48309178744,5.0,0.132169716018,4.90387645761,6.45669291339,5.51304368955,5.49098370131,4.53874538745
Penn North/Reservoir Hill,0.24154589372,7.33333333333,0.124312492985,4.49732114718,5.90551181102,8.34728443765,7.88030285516,5.31365313653
Pimlico/Arlington/Hilltop,0.217391304348,7.66666666667,0.65214951173,5.37346359912,7.00787401575,9.9455030468,8.06149578083,4.46494464945
Poppleton/The Terraces/Hollins Market,0.144927536232,8.66666666667,0.118980805927,2.5338796092,8.34645669291,8.37104441502,9.4717373714,4.83394833948
Sandtown-Winchester/Harlem Park,0.024154589372,9.33333333333,0.191940734089,7.4251497006,6.61417322835,9.47178741329,9.05617847648,7.82287822878
South Baltimore,0.434782608696,0.0,0.973734425861,0.201701859439,4.8031496063,2.87539983234,1.70009247486,1.47601476015
Southeastern,0.217391304348,4.33333333333,1.22320125716,1.77749763631,3.70078740157,8.331837849,7.87192232112,3.06273062731
Southern Park Heights,0.0724637681159,8.0,0.161353687283,5.60983296565,6.22047244094,9.91609378336,8.82296844295,5.53505535055
Southwest Baltimore,0.12077294686,9.0,0.398754068919,8.59754175859,7.55905511811,9.89862525361,9.09201248411,8.41328413284
