CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,0.765765765766,1.87134502924,0.279078421036,6.95256660169,7.5,9.48012606876,7.83608831349,3.57933579336
Beechfield/Ten Hills/West Hills,1.14114114114,1.57894736842,0.128376073677,4.27983539095,5.6914893617,6.31453836899,5.85741532771,1.69741697417
Belair-Edison,0.36036036036,1.94152046784,0.218611429812,8.98852068443,9.3085106383,9.205308943,7.56155357762,3.35793357934
Brooklyn/Curtis Bay/Hawkins Point,0.885885885886,1.3918128655,0.707618840894,6.22048949534,9.46808510638,9.25040195066,7.752571957,3.65313653137
Canton,0.990990990991,1.66081871345,0.347297590623,0.0,4.84042553191,1.61248762205,1.39694832967,1.10701107011
Cedonia/Frankford,0.945945945946,1.3567251462,0.311947657292,9.93935455924,7.28723404255,8.01305940352,7.7178938851,2.91512915129
Cherry Hill,0.0,1.12280701754,0.186362367825,5.54256010396,9.3085106383,9.74866105178,9.01023003121,5.27675276753
Chinquapin Park/Belvedere,0.750750750751,1.43859649123,0.113181804087,2.47779943686,7.71276595745,6.63117433478,6.60299387354,2.43542435424
Claremont/Armistead,1.0960960961,1.26315789474,0.255201711681,3.8769763916,9.62765957447,7.60690290363,7.73552190498,3.43173431734
Clifton-Berea,0.375375375375,1.06432748538,0.16248565847,5.28698288932,9.94680851064,9.90970750769,8.72760374523,5.83025830258
Cross-Country/Cheswolde,1.8018018018,0.0,0.0871344847902,1.16525882608,0.0,5.17307835642,5.62189342273,1.32841328413
Dickeyville/Franklintown,1.41141141141,0.245614035088,0.0,1.32986787958,7.18085106383,3.11466507661,7.73841174431,3.06273062731
Dorchester/Ashburton,0.945945945946,1.66081871345,0.140469471922,4.54407623998,6.3829787234,7.73275871248,7.57340191885,2.87822878229
Downtown/Seton Hill,4.81981981982,10.0,10.0,0.636777128005,8.56382978723,2.87208386128,6.46601548954,2.25092250923
Edmondson Village,0.195195195195,0.842105263158,0.0182951409346,3.71886506389,8.29787234043,8.74389088237,7.4661888799,4.05904059041
Fells Point,1.78678678679,2.65497076023,0.864212843809,0.723413471951,5.31914893617,2.45959198015,2.98693792625,1.47601476015
Forest Park/Walbrook,0.45045045045,1.30994152047,0.0617073397625,4.31882174572,6.86170212766,8.40297816157,7.46994567102,3.35793357934
Glen-Fallstaff,1.87687687688,1.48538011696,1.29027256659,4.41195581546,2.81914893617,7.69546514476,7.35088429083,2.80442804428
Greater Charles Village/Barclay,3.85885885886,2.12865497076,1.13832987069,2.49945852285,4.73404255319,4.37479370082,8.34441105075,3.80073800738
Greater Govans,0.570570570571,0.888888888889,0.0905454432696,4.94260342214,8.13829787234,8.89679184812,7.57051207953,3.9852398524
Greater Mondawmin,0.705705705706,3.3918128655,0.36714316723,4.04591726229,6.86170212766,9.22585900316,7.294532424,3.65313653137
Greater Roland Park/Poplar Hill,0.540540540541,0.818713450292,0.418927718689,0.504656703487,3.8829787234,0.466528956419,0.0,0.0
Greater Rosemont,0.435435435435,1.47368421053,0.217371081274,10.0,7.65957446809,9.93374468946,8.5094208762,4.87084870849
Greenmount East,0.405405405405,1.62573099415,0.0973673602282,4.34048083171,9.62765957447,9.5770201348,8.92844757831,10.0
Hamilton,0.930930930931,1.56725146199,0.183261496481,4.47476716483,6.17021276596,7.10041845459,4.63819211652,1.91881918819
Harbor East/Little Italy,1.06606606607,7.43859649123,2.32379298583,2.29802902318,6.91489361702,0.847210835099,7.35839787308,4.16974169742
Harford/Echodale,1.35135135135,1.20467836257,0.285900337995,5.39527831925,6.06382978723,6.52238146448,5.847589874,1.9557195572
Highlandtown,0.705705705706,3.11111111111,0.346057242085,1.53129737925,6.17021276596,1.92872429912,3.57299734135,2.10332103321
Howard Park/West Arlington,1.24624624625,1.3918128655,0.831653694688,3.53692874161,7.18085106383,8.2579564935,7.25494162525,2.21402214022
Inner Harbor/Federal Hill,10.0,3.61403508772,1.78269093615,0.890188434048,4.57446808511,0.173557502901,1.87174893076,1.25461254613
Lauraville,0.855855855856,1.15789473684,0.182021147943,4.24951267057,6.22340425532,6.25767965331,4.37232689862,1.47601476015
Loch Raven,0.975975975976,1.21637426901,0.266674935657,6.11435997401,4.46808510638,8.16846257866,6.47584094324,2.58302583026
Madison/East End,0.225225225225,1.47368421053,0.119383546777,4.91011479316,9.57446808511,9.73058658177,8.47127499711,6.82656826568
Medfield/Hampden/Woodberry/Remington,1.83183183183,1.73099415205,1.27569847127,2.9066493394,3.67021276596,4.8875602926,5.38377066235,1.91881918819
Midtown,5.15015015015,3.71929824561,1.4090359391,1.09594975092,4.89361702128,4.0451409223,7.37949370015,3.54243542435
Midway/Coldstream,0.435435435435,1.85964912281,0.179540450867,5.40394195365,10.0,10.0,7.76210842677,5.23985239852
Morrell Park/Violetville,1.84684684685,1.9649122807,1.14949300754,2.62724713017,4.78723404255,8.29053845417,7.28961969714,2.0295202952
Mount Washington/Coldspring,1.14114114114,0.818713450292,0.576141895873,0.444011262725,5.58510638298,1.19895759021,3.00196509074,0.811808118081
North Baltimore/Guilford/Homeland,1.86186186186,0.80701754386,0.488387236814,1.10244747672,2.28723404255,0.0,2.889550341,0.553505535055
Northwood,1.03603603604,1.2514619883,0.372414648516,4.84730344379,5.47872340426,7.62196939851,5.4242284129,2.17712177122
Oldtown/Middle East,1.35135135135,1.98830409357,2.20254891625,4.90145115876,6.01063829787,5.65254426781,10.0,5.94095940959
Orangeville/East Highlandtown,1.15615615616,2.7485380117,1.14980309467,4.07840589127,8.03191489362,7.61834918066,7.0535198243,3.50553505535
Patterson Park North & East,0.0750750750751,2.28070175439,0.118763372508,6.04071908165,6.54255319149,4.98187229149,5.49098370131,4.53874538745
Penn North/Reservoir Hill,0.33033033033,1.3567251462,0.191943936246,4.48126489062,8.03191489362,8.42477932643,7.88030285516,5.31365313653
Pimlico/Arlington/Hilltop,0.975975975976,1.05263157895,0.584824335638,5.28698288932,9.62765957447,9.57369272869,8.06149578083,4.46494464945
Poppleton/The Terraces/Hollins Market,0.48048048048,2.45614035088,0.122174330987,2.5839289582,9.89361702128,8.13053014896,9.4717373714,4.83394833948
Sandtown-Winchester/Harlem Park,0.3003003003,1.27485380117,0.159074699991,7.749620966,7.02127659574,9.99017749715,9.05617847648,7.82287822878
South Baltimore,1.35135135135,2.37426900585,1.23569723092,0.21009313407,7.60638297872,1.1210696679,1.70009247486,1.47601476015
Southeastern,1.68168168168,3.68421052632,1.07538218239,2.261208577,6.86170212766,8.0830946474,7.87192232112,3.06273062731
Southern Park Heights,0.855855855856,0.80701754386,0.168377314025,6.24864630713,8.77659574468,9.90228073725,8.82296844295,5.53505535055
Southwest Baltimore,0.990990990991,2.16374269006,0.381717262551,9.1921160927,8.67021276596,9.84283995443,9.09201248411,8.41328413284
The Waverlies,0.225225225225,2.45614035088,0.30698626314,3.33766515053,6.91489361702,7.93248293706,7.87625708011,3.9852398524
Upton/Druid Heights,0.45045045045,2.26900584795,0.543272659617,5.75698505523,8.82978723404,8.21834705112,9.80320194197,8.74538745387
Washington Village/Pigtown,1.17117117117,6.35087719298,0.759093305219,2.13558587828,7.81914893617,6.86278841956,6.09120332909,2.91512915129
Westport/Mount Winans/Lakeland,1.23123123123,2.39766081871,0.336444540916,4.16504223522,7.18085106383,9.37237134917,6.90844989019,3.43173431734
