CSA2010,Arts and Culture,Crime and Safety,Economic and Workforce Development,Education,Health and Human Welfare,Housing,Socioeconomic/Demographics,Sustainability
Allendale/Irvington/S. Hilton,-102,246,1005,3053,180,-38506,-11415,9
Beechfield/Ten Hills/West Hills,-77,221,519,1819,146,-157427,-18262,-42
Belair-Edison,-129,252,810,3993,214,-48830,-12365,3
Brooklyn/Curtis Bay/Hawkins Point,-94,205,2387,2715,217,-47136,-11704,11
Canton,-87,228,1225,-157,130,-334068,-33697,-58
Cedonia/Frankford,-90,202,1111,4432,176,-93619,-11824,-9
Cherry Hill,-153,182,706,2402,214,-28418,-7352,55
Chinquapin Park/Belvedere,-103,209,470,987,184,-145532,-15682,-22
Claremont/Armistead,-80,194,928,1633,220,-108877,-11763,5
Clifton-Berea,-128,177,629,2284,226,-22368,-8330,70
Cross-Country/Cheswolde,-33,86,386,381,39,-200308,-19077,-52
Dickeyville/Franklintown,-59,107,105,457,174,-277636,-11753,-5
Dorchester/Ashburton,-90,228,558,1941,159,-104149,-12324,-10
Downtown/Seton Hill,168,941,32354,137,200,-286749,-16156,-27
Edmondson Village,-140,158,164,1560,195,-66164,-12695,22
Fells Point,-34,313,2892,177,139,-302245,-28195,-48
Forest Park/Walbrook,-123,198,304,1837,168,-78971,-12682,3
Glen-Fallstaff,-28,213,4266,1880,92,-105550,-13094,-12
Greater Charles Village/Barclay,104,268,3776,997,128,-230297,-9656,15
Greater Govans,-115,162,397,2125,192,-60420,-12334,20
Greater Mondawmin,-106,376,1289,1711,168,-48058,-13289,11
Greater Roland Park/Poplar Hill,-117,156,1456,76,112,-377118,-38531,-88
Greater Rosemont,-124,212,806,4460,183,-21465,-9085,44
Greenmount East,-126,225,419,1847,220,-34866,-7635,183
Hamilton,-91,220,696,1909,155,-127904,-22481,-36
Harbor East/Little Italy,-82,722,7599,904,169,-362817,-13068,25
Harford/Echodale,-63,189,1027,2334,153,-149619,-18296,-35
Highlandtown,-106,352,1221,550,155,-322188,-26167,-31
Howard Park/West Arlington,-70,205,2787,1476,174,-84419,-13426,-28
Inner Harbor/Federal Hill,513,395,5854,254,125,-388124,-32054,-54
Lauraville,-96,185,692,1805,156,-159563,-23401,-48
Loch Raven,-88,190,965,2666,123,-87781,-16122,-18
Madison/East End,-138,212,490,2110,219,-29097,-9217,97
Medfield/Hampden/Woodberry/Remington,-31,234,4219,1185,108,-211034,-19901,-36
Midtown,190,404,4649,349,131,-242681,-12995,8
Midway/Coldstream,-124,245,684,2338,227,-18976,-11671,54
Morrell Park/Violetville,-30,254,3812,1056,129,-83195,-13306,-33
Mount Washington/Coldspring,-77,156,1963,48,144,-349603,-28143,-66
North Baltimore/Guilford/Homeland,-29,155,1680,352,82,-394644,-28532,-73
Northwood,-84,193,1306,2081,142,-108311,-19761,-29
Oldtown/Middle East,-63,256,7208,2106,152,-182296,-3927,73
Orangeville/East Highlandtown,-76,321,3813,1726,190,-108447,-14123,7
Patterson Park North & East,-148,281,488,2632,162,-207491,-19530,35
Penn North/Reservoir Hill,-131,202,724,1912,190,-78152,-11262,56
Pimlico/Arlington/Hilltop,-88,176,1991,2284,220,-34991,-10635,33
Poppleton/The Terraces/Hollins Market,-121,296,499,1036,225,-89206,-5755,43
Sandtown-Winchester/Harlem Park,-133,195,618,3421,171,-19345,-7193,124
South Baltimore,-63,289,4090,-60,182,-352529,-32648,-48
Southeastern,-41,401,3573,887,168,-90988,-11291,-5
Southern Park Heights,-96,155,648,2728,204,-22647,-8000,62
Southwest Baltimore,-87,271,1336,4087,202,-24880,-7069,140
The Waverlies,-138,296,1095,1384,169,-96646,-11276,20
Upton/Druid Heights,-123,280,1857,2501,205,-85907,-4608,149
Washington Village/Pigtown,-75,629,2553,829,186,-136831,-17453,-9
Westport/Mount Winans/Lakeland,-71,291,1190,1766,174,-42554,-14625,5
